tname	tf	tfgenename	tfcount	gene	tfauc	gcount	npmotifregweight	npgexpress	nprtype
Head	Sox21a_(+)-NP	Sox21a	14081	sNPF	0.14118	7	6.7	2.71508	np
Head	SREBP_(+)-NP	SREBP	9204	Capa	0.04646	1	13.2	1.5804	np
Head	sr_(-)-NP	sr	2676	AstC	0.05224	71	43.6	3.11211	np
Head	sr_(-)-NP	sr	351	FMRFa	0.03304	100	155.10001	5.20513	np
Head	sr_(-)-NP	sr	10003	sNPF	0.02884	100	146.2	2.64951	np
Head	svp_(-)-NP	svp	10011	sNPF	0.10989	62	43.8	2.76776	np
Head	TfAP-2_(+)-NP	TfAP-2	2410	AstA	0.15231	20	19.3	6.79585	np
Head	toy_(-)-NP	toy	9667	sNPF	0.02959	54	11.7	2.67767	np
Head	Vsx1_(+)-NP	Vsx1	2760	AstA	0.16282	69	25.7	6.06957	np
Head	Vsx2_(+)-NP	Vsx2	2762	AstA	0.17823	15	3	6.06589	np
Head	Vsx2_(-)-NP	Vsx2	2382	AstA	0.11517	15	3	6.53065	np
Body	Atf6_(-)-NP	Atf6	886	sNPF	0.052	19	27.4	3.55418	np
Body	CG12605_(+)-NP	CG12605	215	FMRFa	0.16726	10	19.4	4.96279	np
Body	CG12605_(-)-NP	CG12605	225	FMRFa	0.09606	10	19.4	4.78667	np
Body	CG44247_(-)-NP	CG44247	1026	AstA	0.17505	26	23	4.44055	np
Body	CG44247_(-)-NP	CG44247	988	sNPF	0.06952	100	32.4	3.77429	np
Body	cnc_(-)-NP	cnc	756	natalisin	0.09104	11	38.6	1.05952	np
Body	crc_(-)-NP	crc	493	natalisin	0.18908	1	1.9	1.04462	np
Body	E2f1_(-)-NP	E2f1	697	natalisin	0.11621	98	13.9	1.05882	np
Body	EcR_(+)-NP	EcR	1202	sNPF	0.17661	3	21.9	3.76872	np
Body	Ets65A_(+)-NP	Ets65A	1202	sNPF	0.17829	2	18.9	3.76872	np
Body	exex_(+)-NP	exex	1322	AstC	0.06764	89	11.7	2.79425	np
Body	foxo_(-)-NP	foxo	440	natalisin	0.05359	45	17.9	1.04545	np
Body	ham_(+)-NP	ham	764	natalisin	0.06603	7	4.2	1.06021	np
Body	hbn_(+)-NP	hbn	1102	AstA	0.16481	21	39.9	4.88385	np
Body	Hnf4_(-)-NP	Hnf4	605	natalisin	0.08271	8	31	1.0562	np
Body	Hr39_(+)-NP	Hr39	1201	sNPF	0.03246	1	3.2	3.77102	np
Body	Lmx1a_(+)-NP	Lmx1a	1332	AstC	0.0939	75	6.5	2.78829	np
Body	Mitf_(-)-NP	Mitf	339	natalisin	0.034	1	4.5	1.04425	np
Body	otp_(+)-NP	otp	225	FMRFa	0.06891	96	121.2	4.78667	np
Body	otp_(+)-NP	otp	1202	sNPF	0.07338	39	102.6	3.76872	np
Body	pb_(+)-NP	pb	1199	sNPF	0.19762	6	5.9	3.77565	np
Body	pnt_(+)-NP	pnt	764	natalisin	0.06746	4	9.2	1.06021	np
Body	Ptx1_(+)-NP	Ptx1	1348	AstC	0.08969	100	22	2.76706	np
Body	Sox14_(+)-NP	Sox14	764	natalisin	0.16344	4	8.4	1.06021	np
Body	SREBP_(+)-NP	SREBP	764	natalisin	0.03633	1	0.7	1.06021	np
Body	sr_(-)-NP	sr	206	FMRFa	0.16161	98	241.2	4.80583	np
Body	sr_(-)-NP	sr	1120	sNPF	0.14838	22	108.9	3.68125	np
Body	sv_(+)-NP	sv	105	Crz	0.07887	9	37.2	1.4381	np
Body	sv_(+)-NP	sv	1202	sNPF	0.11059	11	31.9	3.76872	np
Body	wor_(+)-NP	wor	1193	sNPF	0.13425	14	8.3	3.78961	np
Body	Xbp1_(-)-NP	Xbp1	664	natalisin	0.12078	6	3.6	1.05422	np
Body	zld_(+)-NP	zld	1202	sNPF	0.0796	32	15.5	3.76872	np
Antenna	aop_(+)-NP	aop	6496	sNPF	0.04328	30	2.7	3.46598	np
Antenna	aop_(-)-NP	aop	7880	sNPF	0.2931	30	2.7	3.47475	np
Antenna	bbx_(+)-NP	bbx	7880	sNPF	0.11046	28	3.6	3.47475	np
Antenna	CG44247_(-)-NP	CG44247	986	sNPF	0.0813	100	12.7	2.41379	np
Antenna	cnc_(-)-NP	cnc	304	natalisin	0.11686	30	74.2	1.04276	np
Antenna	Doc3_(+)-NP	Doc3	46	NPF	0.02889	100	3.7	1.06522	np
Antenna	dysf_(+)-NP	dysf	52	AstA	0.14426	100	59.7	1.03846	np
Antenna	dysf_(+)-NP	dysf	325	natalisin	0.13639	66	67.5	1.04308	np
Antenna	E5_(+)-NP	E5	52	AstA	0.185	59	22.1	1.03846	np
Antenna	Eip74EF_(+)-NP	Eip74EF	7779	sNPF	0.05092	14	0.2	3.48644	np
Antenna	Eip74EF_(-)-NP	Eip74EF	7852	sNPF	0.35673	14	0.2	3.48357	np
Antenna	fkh_(+)-NP	fkh	7880	sNPF	0.09251	57	26.8	3.47475	np
Antenna	fkh_(-)-NP	fkh	5701	sNPF	0.08159	57	26.8	3.5599	np
Antenna	foxo_(-)-NP	foxo	324	natalisin	0.05833	1	16.8	1.04321	np
Antenna	Hnf4_(-)-NP	Hnf4	264	natalisin	0.07635	100	131.60001	1.04924	np
Antenna	Hr38_(+)-NP	Hr38	7880	sNPF	0.19659	38	59.3	3.47475	np
Antenna	Hr38_(-)-NP	Hr38	1523	sNPF	0.11102	38	59.3	3.02495	np
Antenna	Hr3_(+)-NP	Hr3	7877	sNPF	0.14573	2	7.3	3.47569	np
Antenna	Hr3_(-)-NP	Hr3	6096	sNPF	0.04293	2	7.3	3.44111	np
Antenna	klu_(+)-NP	klu	6145	sNPF	0.06647	2	1.7	3.44264	np
Antenna	klu_(-)-NP	klu	7880	sNPF	0.33291	2	1.7	3.47475	np
Antenna	Mef2_(-)-NP	Mef2	5961	sNPF	0.0444	21	5.4	3.52693	np
Antenna	Mondo_(+)-NP	Mondo	6803	sNPF	0.05259	3	11.4	3.56622	np
Antenna	NFAT_(+)-NP	NFAT	325	natalisin	0.25658	26	33.6	1.04308	np
Antenna	pnt_(+)-NP	pnt	325	natalisin	0.11364	12	24	1.04308	np
Antenna	pnt_(+)-NP	pnt	7880	sNPF	0.04444	8	12	3.47475	np
Antenna	Rfx_(-)-NP	Rfx	293	natalisin	0.07526	2	1.9	1.04778	np
Antenna	Rfx_(-)-NP	Rfx	4332	sNPF	0.03884	16	11.7	3.31371	np
Antenna	scrt_(-)-NP	scrt	325	natalisin	0.10095	83	14.2	1.04308	np
Antenna	sr_(-)-NP	sr	5461	sNPF	0.04534	100	160.5	3.47299	np
Antenna	Stat92E_(-)-NP	Stat92E	4605	sNPF	0.0393	10	5.1	3.32139	np
Antenna	sv_(+)-NP	sv	325	natalisin	0.15553	100	113.8	1.04308	np
Antenna	sv_(-)-NP	sv	325	natalisin	0.15429	100	113.8	1.04308	np
Body wall	CG16779_(-)-NP	CG16779	51	sNPF	0.09907	34	27.8	2.13725	np
Body wall	CG3065_(+)-NP	CG3065	32	FMRFa	0.01852	6	5.7	3.09375	np
Body wall	CHES-1-like_(-)-NP	CHES-1-like	78	natalisin	0.07903	29	17	1.03846	np
Body wall	CrebB_(-)-NP	CrebB	78	natalisin	0.20394	80	39.2	1.03846	np
Body wall	E5_(+)-NP	E5	78	natalisin	0.02573	97	32.3	1.03846	np
Body wall	Ets21C_(+)-NP	Ets21C	51	sNPF	0.07578	24	23.1	2.13725	np
Body wall	grh_(-)-NP	grh	34	Crz	0.15465	100	95.6	1.05882	np
Body wall	Hr4_(+)-NP	Hr4	78	natalisin	0.09811	1	2.4	1.03846	np
Body wall	Hr4_(-)-NP	Hr4	78	natalisin	0.20851	1	2.4	1.03846	np
Body wall	Hr78_(-)-NP	Hr78	96	AstA	0.20276	12	12.7	1.375	np
Body wall	jim_(+)-NP	jim	78	natalisin	0.11411	1	1.5	1.03846	np
Body wall	jim_(-)-NP	jim	54	natalisin	0.12973	1	1.5	1.01852	np
Body wall	lbl_(+)-NP	lbl	96	AstA	0.02429	91	30.9	1.375	np
Body wall	Lim1_(+)-NP	Lim1	51	sNPF	0.02847	11	14.7	2.13725	np
Body wall	mor_(+)-NP	mor	32	FMRFa	0.02531	18	4.2	3.09375	np
Body wall	nonA-l_(+)-NP	nonA-l	22	AstA	0.10039	2	0	2	np
Body wall	Oli_(+)-NP	Oli	96	AstA	0.05198	13	4.1	1.375	np
Body wall	pho_(+)-NP	pho	96	AstA	0.0276	1	4.2	1.375	np
Body wall	Rbf2_(+)-NP	Rbf2	14	AstC	0.02663	4	2.8	1.14286	np
Body wall	RunxA_(+)-NP	RunxA	74	AstA	0.03076	6	9.6	1.48649	np
Body wall	sr_(-)-NP	sr	51	sNPF	0.09192	76	33.5	2.13725	np
Body wall	Vsx1_(+)-NP	Vsx1	96	AstA	0.03531	42	41.8	1.375	np
Body wall	Vsx1_(+)-NP	Vsx1	32	FMRFa	0.04566	3	0.7	3.09375	np
Fat body	Antp_(+)-NP	Antp	3	NPF	0.02357	4	13.9	1	np
Fat body	ato_(+)-NP	ato	216	AstA	0.01645	44	34.4	1.31481	np
Fat body	CG17802_(+)-NP	CG17802	4	FMRFa	0.04466	3	2.6	1.75	np
Fat body	CG4730_(+)-NP	CG4730	21	FMRFa	0.0161	1	1.7	1.52381	np
Fat body	CG5245_(+)-NP	CG5245	192	AstC	0.03993	5	2.8	1.34375	np
Fat body	CrebA_(-)-NP	CrebA	25	natalisin	0.09112	1	4.5	1.04	np
Fat body	da_(+)-NP	da	162	natalisin	0.00908	16	22.7	1.04321	np
Fat body	Dbx_(+)-NP	Dbx	298	AstA	0.03874	6	8.3	1.25503	np
Fat body	Dll_(+)-NP	Dll	130	natalisin	0.01414	10	3.6	1.03846	np
Fat body	Dp_(+)-NP	Dp	30	FMRFa	0.03712	3	2.6	1.46667	np
Fat body	Dref_(+)-NP	Dref	162	natalisin	0.01672	4	7.7	1.04321	np
Fat body	Dref_(+)-NP	Dref	349	sNPF	0.01978	22	8.8	3.37822	np
Fat body	Drgx_(+)-NP	Drgx	70	natalisin	0.00945	8	7.7	1.08571	np
Fat body	E2f2_(+)-NP	E2f2	162	natalisin	0.01185	70	24.7	1.04321	np
Fat body	eve_(+)-NP	eve	266	AstA	0.02549	54	9.8	1.27068	np
Fat body	exex_(+)-NP	exex	2	NPF	0.01136	8	7.6	1	np
Fat body	foxo_(-)-NP	foxo	145	natalisin	0.05343	1	1.7	1.04828	np
Fat body	FoxP_(+)-NP	FoxP	145	natalisin	0.00963	49	26	1.04138	np
Fat body	gcm2_(+)-NP	gcm2	358	AstA	0.04029	14	2.5	1.21229	np
Fat body	Gsc_(+)-NP	Gsc	30	FMRFa	0.01313	1	0.5	1.46667	np
Fat body	Gsc_(+)-NP	Gsc	158	natalisin	0.01157	12	4.7	1.0443	np
Fat body	hbn_(+)-NP	hbn	130	AstC	0.05596	1	0.6	1.43077	np
Fat body	hng1_(+)-NP	hng1	162	natalisin	0.02029	1	9.6	1.04321	np
Fat body	Hsf_(+)-NP	Hsf	44	Crz	0.0577	1	0.2	1.02273	np
Fat body	Hsf_(+)-NP	Hsf	30	FMRFa	0.05234	2	0.7	1.46667	np
Fat body	Hsf_(+)-NP	Hsf	162	natalisin	0.05262	9	8.1	1.04321	np
Fat body	jim_(+)-NP	jim	162	natalisin	0.1501	1	2	1.04321	np
Fat body	Mondo_(+)-NP	Mondo	162	natalisin	0.22576	4	7.7	1.04321	np
Fat body	Myc_(-)-NP	Myc	139	natalisin	0.08867	99	60.6	1.04317	np
Fat body	Myc_(-)-NP	Myc	253	sNPF	0.06918	91	128.2	4.09091	np
Fat body	pho_(+)-NP	pho	162	natalisin	0.02827	3	12.8	1.04321	np
Fat body	pita_(+)-NP	pita	27	FMRFa	0.01823	1	2.2	1.48148	np
Fat body	Scr_(+)-NP	Scr	168	AstC	0.05609	2	7.6	1.34524	np
Fat body	slbo_(+)-NP	slbo	372	AstA	0.04327	3	3.6	1.2043	np
Fat body	slbo_(+)-NP	slbo	194	AstC	0.05648	4	7.1	1.34021	np
Fat body	vnd_(+)-NP	vnd	194	AstC	0.0503	3	5.5	1.34021	np
Fat body	Vsx1_(+)-NP	Vsx1	162	natalisin	0.0277	55	14.6	1.04321	np
Gut	Abd-B_(+)-NP	Abd-B	94	AstC	0.05437	9	44.5	4.34043	np
Gut	bi_(+)-NP	bi	112	AstA	0.06921	7	5.1	5.85714	np
Gut	bi_(-)-NP	bi	56	AstA	0.27113	7	5.1	7	np
Gut	CHES-1-like_(-)-NP	CHES-1-like	42	sNPF	0.06739	38	4.9	2.07143	np
Gut	cnc_(-)-NP	cnc	147	natalisin	0.09546	3	3.1	1.07483	np
Gut	CrebB_(-)-NP	CrebB	110	natalisin	0.05952	16	9.9	1.06364	np
Gut	Dp_(+)-NP	Dp	147	natalisin	0.0199	1	1	1.07483	np
Gut	dsx_(+)-NP	dsx	147	natalisin	0.38092	1	8.3	1.07483	np
Gut	E2f1_(-)-NP	E2f1	54	sNPF	0.02653	87	19.2	1.85185	np
Gut	ERR_(-)-NP	ERR	81	natalisin	0.15873	5	5.3	1.02469	np
Gut	exd_(+)-NP	exd	102	natalisin	0.03347	2	1.1	1.08824	np
Gut	ey_(+)-NP	ey	110	AstA	0.03109	58	6.8	5.94545	np
Gut	foxo_(-)-NP	foxo	124	natalisin	0.10392	10	17.1	1.05645	np
Gut	foxo_(-)-NP	foxo	57	sNPF	0.07031	38	70.5	1.89474	np
Gut	FoxP_(+)-NP	FoxP	92	AstC	0.03058	49	5.4	4.41304	np
Gut	gsb-n_(+)-NP	gsb-n	56	sNPF	0.01879	2	3.9	2.01786	np
Gut	ham_(+)-NP	ham	63	sNPF	0.06657	96	63.8	1.98413	np
Gut	hbn_(+)-NP	hbn	54	AstA	0.23389	3	33.7	10.48148	np
Gut	hbn_(+)-NP	hbn	54	AstC	0.20126	1	9.5	6.74074	np
Gut	hbn_(+)-NP	hbn	16	sNPF	0.16635	2	20	2.8125	np
Gut	HLH54F_(+)-NP	HLH54F	82	NPF	0.00988	15	13.4	1.91463	np
Gut	Hnf4_(-)-NP	Hnf4	105	natalisin	0.02949	10	10.1	1.06667	np
Gut	Hsf_(+)-NP	Hsf	147	natalisin	0.03901	7	4	1.07483	np
Gut	Hsf_(+)-NP	Hsf	5	Pdf	0.04729	2	0.6	1	np
Gut	Hsf_(-)-NP	Hsf	50	natalisin	0.25976	7	4	1.04	np
Gut	ind_(+)-NP	ind	72	AstA	0.11745	4	2.3	8.11111	np
Gut	ind_(+)-NP	ind	62	AstC	0.12848	1	7.4	6	np
Gut	Jra_(-)-NP	Jra	4	Pdf	0.01546	6	5.5	1	np
Gut	kay_(-)-NP	kay	145	natalisin	0.06002	100	107.8	1.07586	np
Gut	kay_(-)-NP	kay	5	Pdf	0.01486	9	13.8	1	np
Gut	lov_(+)-NP	lov	10	Crz	0.06563	1	3.2	1	np
Gut	maf-S_(+)-NP	maf-S	147	natalisin	0.11553	1	0.9	1.07483	np
Gut	Mef2_(-)-NP	Mef2	111	natalisin	0.12798	3	5.7	1.06306	np
Gut	Myc_(-)-NP	Myc	39	natalisin	0.19979	1	2.6	1.02564	np
Gut	Myc_(-)-NP	Myc	10	sNPF	0.09201	100	34.8	2.4	np
Gut	odd_(+)-NP	odd	82	NPF	0.17929	4	14.9	1.90244	np
Gut	Pdp1_(-)-NP	Pdp1	146	natalisin	0.05693	1	1.6	1.07534	np
Gut	pnr_(+)-NP	pnr	16	AstC	0.04064	1	0.9	5.375	np
Gut	Poxn_(+)-NP	Poxn	56	sNPF	0.06735	3	7.1	2.10714	np
Gut	Ptx1_(+)-NP	Ptx1	147	natalisin	0.09935	4	34.3	1.07483	np
Gut	Pur-alpha_(+)-NP	Pur-alpha	124	natalisin	0.07861	3	11.8	1.05645	np
Gut	run_(+)-NP	run	102	AstA	0.04888	17	5	6.31373	np
Gut	sim_(+)-NP	sim	94	AstC	0.02968	15	21.7	4.34043	np
Gut	Sox14_(+)-NP	Sox14	147	natalisin	0.13685	12	6.9	1.07483	np
Gut	svp_(-)-NP	svp	10	Crz	0.10926	7	16.2	1	np
Gut	tap_(+)-NP	tap	84	AstC	0.15736	95	14.5	4.7381	np
Gut	twi_(+)-NP	twi	63	sNPF	0.11233	6	3	1.98413	np
Gut	vvl_(+)-NP	vvl	88	AstC	0.08024	1	1.4	4.34091	np
Gut	vvl_(-)-NP	vvl	90	AstC	0.2309	1	1.4	4.48889	np
Haltere	abd-A_(+)-NP	abd-A	10	AstC	0.09407	4	3.9	2.2	np
Haltere	Abd-B_(+)-NP	Abd-B	18	sNPF	0.07107	51	13.8	1.77778	np
Haltere	CG12605_(+)-NP	CG12605	10	sNPF	0.10119	1	6	1.7	np
Haltere	CG12605_(-)-NP	CG12605	18	sNPF	0.08009	1	6	1.77778	np
Haltere	CG8319_(+)-NP	CG8319	18	sNPF	0.02534	25	2.1	1.77778	np
Haltere	E5_(+)-NP	E5	6	Crz	0.02481	5	12.7	1	np
Haltere	ems_(+)-NP	ems	54	natalisin	0.04292	9	7.5	1.05556	np
Haltere	ey_(+)-NP	ey	18	sNPF	0.17639	86	9.7	1.77778	np
Haltere	Hnf4_(-)-NP	Hnf4	56	natalisin	0.16791	5	10.5	1.05357	np
Haltere	hng1_(+)-NP	hng1	53	natalisin	0.02796	1	1.8	1.0566	np
Haltere	Lim1_(+)-NP	Lim1	8	AstA	0.05555	18	3	2.25	np
Haltere	otp_(+)-NP	otp	8	AstA	0.13183	27	7.8	2.25	np
Haltere	scro_(+)-NP	scro	18	sNPF	0.09883	8	11.7	1.77778	np
Haltere	Scr_(+)-NP	Scr	15	sNPF	0.02345	5	3.3	1.8	np
Haltere	sd_(-)-NP	sd	17	natalisin	0.07996	2	10.9	1.17647	np
Haltere	Sox15_(+)-NP	Sox15	56	natalisin	0.13968	45	25.5	1.05357	np
Haltere	Sox15_(-)-NP	Sox15	47	natalisin	0.10352	45	25.5	1.04255	np
Haltere	Taf1_(+)-NP	Taf1	18	sNPF	0.02622	39	12.9	1.77778	np
Haltere	Trf_(+)-NP	Trf	18	sNPF	0.02498	26	2.4	1.77778	np
Haltere	twin_(+)-NP	twin	9	Crz	0.0437	2	4.7	1	np
Heart	Atf6_(-)-NP	Atf6	22	AstA	0.046	1	24.5	1.18182	np
Heart	Awh_(+)-NP	Awh	11	natalisin	0.02822	1	2.1	1	np
Heart	Cnot4_(+)-NP	Cnot4	40	AstA	0.04749	23	7.6	1.15	np
Heart	Cnot4_(+)-NP	Cnot4	19	sNPF	0.04941	28	4.8	1.31579	np
Heart	crc_(-)-NP	crc	65	natalisin	0.06923	1	1.1	1.06154	np
Heart	crc_(-)-NP	crc	5	sNPF	0.09562	13	21.5	1	np
Heart	CrebB_(-)-NP	CrebB	30	AstA	0.04252	93	44.3	1.2	np
Heart	CrebB_(-)-NP	CrebB	153	natalisin	0.04114	9	15.4	1.03268	np
Heart	CrebB_(-)-NP	CrebB	14	sNPF	0.03765	27	36.7	1	np
Heart	da_(+)-NP	da	18	sNPF	0.01017	2	6	1	np
Heart	Dp_(+)-NP	Dp	187	natalisin	0.02214	1	0.6	1.06417	np
Heart	drm_(+)-NP	drm	2	NPF	0.02678	74	12.7	1	np
Heart	dve_(+)-NP	dve	40	AstA	0.0303	2	4	1.15	np
Heart	FoxK_(+)-NP	FoxK	155	natalisin	0.01788	4	2.8	1.06452	np
Heart	foxo_(-)-NP	foxo	174	natalisin	0.03002	1	1.4	1.06322	np
Heart	Hnf4_(-)-NP	Hnf4	175	natalisin	0.02464	1	5.8	1.06286	np
Heart	Hnf4_(-)-NP	Hnf4	18	sNPF	0.03961	2	20.8	1.33333	np
Heart	Hr38_(+)-NP	Hr38	182	natalisin	0.01089	4	5.2	1.06593	np
Heart	Hr38_(+)-NP	Hr38	3	NPF	0.01552	11	21.6	1	np
Heart	Iswi_(+)-NP	Iswi	168	natalisin	0.05851	5	1.3	1.07143	np
Heart	kay_(-)-NP	kay	164	natalisin	0.08953	40	72.6	1.06707	np
Heart	kay_(-)-NP	kay	17	sNPF	0.08927	38	170.2	1.35294	np
Heart	mirr_(+)-NP	mirr	19	sNPF	0.19313	1	3	1.31579	np
Heart	mirr_(-)-NP	mirr	15	sNPF	0.07609	1	3	1.4	np
Heart	Myc_(-)-NP	Myc	30	AstA	0.04349	98	29.6	1.13333	np
Heart	Myc_(-)-NP	Myc	128	natalisin	0.05537	2	13	1.05469	np
Heart	Nf-YA_(+)-NP	Nf-YA	7	sNPF	0.02076	31	8.5	1.85714	np
Heart	NfI_(-)-NP	NfI	161	natalisin	0.47311	16	17.8	1.06211	np
Heart	nub_(+)-NP	nub	19	sNPF	0.01917	1	2	1.31579	np
Heart	peng_(+)-NP	peng	12	sNPF	0.03569	5	2.5	1.5	np
Heart	Rbf_(+)-NP	Rbf	3	sNPF	0.02514	3	0.1	3	np
Heart	ro_(+)-NP	ro	7	sNPF	0.02573	29	15.2	1.85714	np
Heart	RpII215_(+)-NP	RpII215	11	Pdf	0.03894	7	12	1	np
Heart	RpII215_(+)-NP	RpII215	19	sNPF	0.03485	3	22.1	1.31579	np
Heart	Sin3A_(+)-NP	Sin3A	16	sNPF	0.01891	2	5.4	1.375	np
Heart	Sox14_(+)-NP	Sox14	187	natalisin	0.12489	13	4.7	1.06417	np
Heart	SREBP_(+)-NP	SREBP	40	AstA	0.11963	1	1	1.15	np
Heart	sug_(+)-NP	sug	187	natalisin	0.10083	5	26.9	1.06417	np
Heart	TfIIB_(+)-NP	TfIIB	40	AstA	0.01943	1	4.4	1.15	np
Heart	ttk_(+)-NP	ttk	8	sNPF	0.05025	1	3.8	1.75	np
Heart	usp_(+)-NP	usp	172	natalisin	0.00969	12	5.3	1.05814	np
Heart	Xbp1_(-)-NP	Xbp1	18	sNPF	0.08405	9	40.6	1.33333	np
Leg	cnc_(-)-NP	cnc	153	natalisin	0.10673	3	22.9	1.05229	np
Leg	CrebA_(-)-NP	CrebA	151	natalisin	0.12698	1	3.6	1.05298	np
Leg	cwo_(-)-NP	cwo	142	natalisin	0.12901	1	1.1	1.04225	np
Leg	Dll_(+)-NP	Dll	125	natalisin	0.12076	1	0.4	1.064	np
Leg	dysf_(+)-NP	dysf	153	natalisin	0.11279	94	64.7	1.05229	np
Leg	foxo_(-)-NP	foxo	151	natalisin	0.01827	12	37.3	1.05298	np
Leg	FoxP_(+)-NP	FoxP	22	sNPF	0.13895	2	6.7	2.27273	np
Leg	Hnf4_(-)-NP	Hnf4	119	natalisin	0.03677	43	62.1	1.02521	np
Leg	Hr38_(-)-NP	Hr38	152	natalisin	0.22329	3	0.2	1.05263	np
Leg	inv_(+)-NP	inv	22	AstA	0.06877	5	3.5	1.09091	np
Leg	Mondo_(+)-NP	Mondo	153	natalisin	0.08047	60	9.7	1.05229	np
Leg	Rel_(-)-NP	Rel	102	natalisin	0.1246	33	10.4	1.06863	np
Leg	svp_(-)-NP	svp	22	sNPF	0.13802	98	29.5	2.27273	np
Male reproductive glands	Abd-B_(+)-NP	Abd-B	108	AstA	0.16098	1	24.5	1.05556	np
Male reproductive glands	Abd-B_(+)-NP	Abd-B	133	natalisin	0.22737	59	25.4	1.03759	np
Male reproductive glands	Abd-B_(-)-NP	Abd-B	108	AstA	0.51202	1	24.5	1.05556	np
Male reproductive glands	Abd-B_(-)-NP	Abd-B	133	natalisin	0.4149	59	25.4	1.03759	np
Male reproductive glands	Atf6_(-)-NP	Atf6	66	AstA	0.02334	29	32.1	1	np
Male reproductive glands	Atf6_(-)-NP	Atf6	629	sNPF	0.00586	66	36.2	1.33386	np
Male reproductive glands	Cf2_(-)-NP	Cf2	74	AstA	0.02736	65	9.1	1.02703	np
Male reproductive glands	Cf2_(-)-NP	Cf2	88	natalisin	0.03114	96	13.5	1.03409	np
Male reproductive glands	Cf2_(-)-NP	Cf2	557	sNPF	0.02696	27	11.4	1.36266	np
Male reproductive glands	Clk_(+)-NP	Clk	133	natalisin	0.07047	1	1	1.03759	np
Male reproductive glands	Clk_(-)-NP	Clk	94	natalisin	0.11305	1	1	1.04255	np
Male reproductive glands	crp_(-)-NP	crp	30	natalisin	0.10061	8	4	1.03333	np
Male reproductive glands	Dbx_(+)-NP	Dbx	92	AstA	0.02799	10	12.7	1.06522	np
Male reproductive glands	E2f1_(-)-NP	E2f1	105	natalisin	0.03396	20	3.5	1.04762	np
Male reproductive glands	E2f1_(-)-NP	E2f1	885	sNPF	0.03505	4	1.8	1.36045	np
Male reproductive glands	EcR_(+)-NP	EcR	133	natalisin	0.14191	14	7.3	1.03759	np
Male reproductive glands	EcR_(+)-NP	EcR	1206	sNPF	0.14804	1	6.3	1.34992	np
Male reproductive glands	EcR_(-)-NP	EcR	133	natalisin	0.16264	14	7.3	1.03759	np
Male reproductive glands	EcR_(-)-NP	EcR	1206	sNPF	0.1979	1	6.3	1.34992	np
Male reproductive glands	Eip74EF_(+)-NP	Eip74EF	133	natalisin	0.15541	1	0.6	1.03759	np
Male reproductive glands	Eip74EF_(+)-NP	Eip74EF	1206	sNPF	0.22268	3	8.9	1.34992	np
Male reproductive glands	Ets98B_(+)-NP	Ets98B	106	AstA	0.06262	1	0.7	1.0566	np
Male reproductive glands	foxo_(-)-NP	foxo	133	natalisin	0.0636	37	21.9	1.03759	np
Male reproductive glands	foxo_(-)-NP	foxo	1206	sNPF	0.06394	7	10.4	1.34992	np
Male reproductive glands	gsb_(+)-NP	gsb	6	natalisin	0.01697	4	8.9	1	np
Male reproductive glands	gsb_(+)-NP	gsb	12	sNPF	0.01529	2	0.2	1.08333	np
Male reproductive glands	Hnf4_(-)-NP	Hnf4	133	natalisin	0.05112	58	21	1.03759	np
